generation,best_fitness,avg_fitness,worst_fitness,best_height,best_holes,best_bumpiness,best_lines,best_max_height,best_wells,best_row_transitions,best_column_transitions
1,156.2000,89.5300,24.7000,0.1435,0.0354,0.0361,0.1698,0.0811,0.0979,0.2663,0.1698
2,105.6000,75.8700,16.9000,0.1435,0.0354,0.0361,0.1698,0.0811,0.0979,0.2663,0.1698
3,167.2000,86.2800,41.9000,0.1435,0.0354,0.0361,0.1698,0.0811,0.0979,0.2663,0.1698
4,151.1000,81.4800,46.4000,0.1435,0.0354,0.0361,0.1698,0.0811,0.0979,0.2663,0.1698
5,141.0000,84.6800,34.9000,0.1435,0.0354,0.0361,0.1698,0.0811,0.0979,0.2663,0.1698
6,149.8000,99.2300,64.1000,0.1419,0.0000,0.0357,0.1622,0.1322,0.0968,0.2633,0.1679
7,168.3000,99.7200,46.1000,0.1398,0.0605,0.0352,0.1654,0.0790,0.0953,0.2594,0.1654
8,159.9000,81.1800,9.1000,0.0340,0.1897,0.0635,0.0814,0.1360,0.1772,0.1695,0.1488
9,173.1000,106.5900,42.7000,0.0325,0.1814,0.0000,0.2779,0.1301,0.1695,0.0944,0.1144
10,203.8000,116.3800,78.8000,0.0340,0.1897,0.0635,0.0814,0.1360,0.1772,0.1695,0.1488
